model,scenario,region,variable,unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|BC,Mt BC/yr,7.21924524460418,6.995821724379419,6.774229909191631,6.673565121438276,6.573174885325535,6.473059200853406,6.37321806802189,6.273651486830985,6.096374237917545,5.919566589317007,5.743228541029369,5.567360093054634,5.3919612453928,5.280388647106857,5.16913537473086,5.058201428264807,4.947586807708699,4.837291513062533,4.730619896379374,4.624270125970022,4.518242201834478,4.412536123972742,4.307151892384813,4.203186318749827,4.099517236350155,3.996144645185798,3.8930685452567544,3.7902889365630257,3.75239586186317,3.7146036980388155,3.676912445089961,3.6393221030166067,3.6018326718187526,3.5707633987695213,3.5397521471700903,3.5087989170204583,3.477903708320626,3.4470665210705937,3.4271760147623933,3.407314784290258,3.387482829654188,3.367680150854184,3.347906747890245,3.2920906509813084,3.2362494840854006,3.180383247202521,3.1244919403326694,3.0685755634758465,3.0263153876318807,2.9842986200655055,2.9425252607767214,2.9009953097655274,2.8597087670319246,2.8205090906738883,2.781466572239767,2.7425812117295614,2.7038530091432715,2.665281964480897,2.646676187298966,2.6280704101170347,2.6094646329351034,2.590858855753172,2.572253078571241,2.5517876105375272,2.5313221425038135,2.5108566744700997,2.490391206436386,2.4699257384026727,2.457646884385232,2.445368030367792,2.433089176350352,2.4208103223329114,2.4085314683154713,2.3976165253615047,2.3867015824075386,2.375786639453572,2.364871696499606,2.3539567535456394
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|CH4,Mt CH4/yr,363.48990132891083,362.9745899899729,362.45725683819876,370.84744485196427,379.2415015326185,387.6394268801614,396.041220894593,404.4468835759132,409.3143195417077,414.1826534657856,419.0518853481469,423.92201518879165,428.79304298771984,434.7478393489482,440.7033575305611,446.65959753255845,452.6165593549402,458.57424299770645,466.6942704738683,474.8152859659493,482.93728947394925,491.0602809978684,499.1842605377066,507.01729904581896,514.8512600514842,522.6861435547021,530.5219495554728,538.3586780537962,543.7212841729728,549.0860857235011,554.4530827053813,559.8222751186133,565.1936629631972,568.7856063047021,572.3797329042968,575.976042761981,579.574535877755,583.1752122516186,585.0282573776431,586.8832931699671,588.740319628591,590.5993367535148,592.4603445447383,575.7760132510231,559.0954053156589,542.4185207386457,525.7453595199835,509.0759216596721,477.52131739667414,445.98377924636225,414.4633072087365,382.95990128379697,351.4735614715436,331.58228868818156,311.71217712599184,291.8632267849746,272.0354376651297,252.22880976645718,241.1523461499825,230.07588253350775,218.99941891703307,207.92295530055839,196.84649168408367,188.5445792652322,180.24266684638064,171.9407544275291,163.63884200867759,155.33692958982607,152.42617012028748,149.5154106507489,146.60465118121033,143.6938917116717,140.78313224213312,138.88972473912247,136.99631723611185,135.10290973310117,133.20950223009055,131.31609472707987
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|CO,Mt CO/yr,774.0534343017323,761.8423923369219,749.7707939504897,745.3412889874878,740.918417204063,736.5021786002153,732.0925731759445,727.689600931251,718.2047156670967,708.7309479837686,699.2682978812663,689.8167653595901,680.3763504187398,674.089600990307,667.8110516356899,661.540702354888,655.2785531479019,649.024604014731,643.6980860226022,638.3821372408504,633.0767576694761,627.7819473084792,622.4977061578596,615.220163634883,607.9520423460699,600.6933422914207,593.4440634709351,586.2042058846132,585.4489768109526,584.6984593241039,583.9526534240672,583.2115591108425,582.4751763844299,582.6968368987555,582.918518366686,583.1402207882217,583.3619441633623,583.5836884921081,584.7357925779305,585.8876570902866,587.0392820291761,588.1906673945991,589.3418131865557,588.3704643422495,587.4025030856978,586.4379294169005,585.4767433358576,584.5189448425689,575.7565878999045,567.0421647103335,558.3756752738561,549.7571195904721,541.1864976601817,531.9613026394771,522.7717275833535,513.6177724918106,504.4994373648484,495.416722202467,490.37677900287775,485.3368358032885,480.2968926036993,475.25694940411006,470.21700620452077,463.40948738196073,456.6019685594007,449.79444973684065,442.9869309142806,436.17941209172056,433.4456679322364,430.71192377275224,427.97817961326814,425.2444354537839,422.51069129429976,421.26624236013424,420.02179342596867,418.77734449180303,417.5328955576375,416.28844662347194
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38712.21703981296,38914.384141669805,39113.142089242974,39446.374270460554,39778.33416364678,40109.021768801664,40438.43708592519,40766.58011501738,40841.607512727394,40916.274520239516,40990.58113755372,41064.527364670044,41138.11320158846,41361.46055332884,41582.74394646307,41801.96338099117,42019.118856913134,42234.21037422896,42734.528021949685,43232.23612911521,43727.33469572555,44219.82372178068,44709.70320728064,45155.26665256729,45597.98070215828,46037.84535605359,46474.86061425323,46909.026476757186,47242.90271587487,47574.258937631384,47903.09514202672,48229.411329060895,48553.20749873389,48910.22494460718,49264.83566780086,49617.03966831495,49966.83694614943,50314.22750130432,50738.32741842917,51159.690723094165,51578.31741529931,51994.2074950446,52407.360962330036,50963.73638326075,49539.24478058943,48133.886154316075,46747.66050444068,45380.56783096327,42573.92701525784,39779.596731361315,36997.57697927368,34227.867758994944,31470.469070525094,29441.311138683166,27415.215892554766,25392.183332139877,23372.2134574385,21355.306268450648,20286.03757498186,19216.76888151307,18147.50018804428,17078.231494575488,16008.9628011067,14722.215515559199,13435.468230011698,12148.7209444642,10861.9736589167,9575.2263733692,8859.248912830304,8143.271452291409,7427.293991752513,6711.316531213617,5995.3390706747205,5454.852049865529,4914.365029056338,4373.878008247147,3833.390987437955,3292.903966628763
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|N2O,kt N2O/yr,11289.003670665752,11320.294006683667,11351.66762558688,11397.328338587962,11443.155629540199,11489.149498443592,11535.309945298139,11581.636970103844,11617.560718391693,11653.603358293252,11689.764889808519,11726.045312937496,11762.444627680181,11803.064701615644,11843.762256379368,11884.537291971352,11925.389808391597,11966.319805640103,12002.156844739717,12037.984526687236,12073.802851482655,12109.611819125976,12145.411429617201,12181.27607417587,12217.121618301511,12252.948061994117,12288.755405253687,12324.54364808023,12343.761422695996,12362.974237979226,12382.182093929918,12401.384990548067,12420.582927833682,12440.014437263326,12459.42808175505,12478.823861308849,12498.201775924726,12517.561825602683,12527.8532518563,12538.113830602648,12548.343561841722,12558.542445573525,12568.710481798054,12516.828869844889,12465.08886815144,12413.49047671771,12362.033695543698,12310.718524629405,12016.669891497888,11723.023511822792,11429.779385604115,11136.93751284186,10844.497893536021,10641.627452488232,10439.135123855078,10237.020907636552,10035.284803832656,9833.926812443391,9713.020132425296,9592.113452407202,9471.206772389107,9350.300092371013,9229.39341235292,9120.37227085083,9011.35112934874,8902.32998784665,8793.30884634456,8684.28770484247,8616.318263924812,8548.348823007154,8480.379382089495,8412.409941171838,8344.44050025418,8321.711171953119,8298.981843652056,8276.252515350996,8253.523187049934,8230.793858748873
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|NH3,Mt NH3/yr,69.11340089954984,68.50634547366366,67.90426588580007,68.44472731635564,68.98556313577875,69.52677334406941,70.06835794122763,70.61031692725344,70.60936202932606,70.608530942791,70.60782366764825,70.60724020389777,70.60678055153961,70.61371276342717,70.62075765276072,70.62791521954028,70.63518546376586,70.64256838543746,70.47688452274643,70.31119157160686,70.14548953201874,69.97977840398212,69.81405818749695,69.63434115007843,69.45457610457066,69.27476305097368,69.09490198928745,68.91499291951199,68.5458214984237,68.1764606466047,67.80691036405499,67.43717065077453,67.0672415067634,66.67103387693808,66.27455316580117,65.8777993733526,65.48077249959246,65.08347254452066,64.63013061361323,64.1765347579371,63.722684977492236,63.26858127227866,62.81422364229634,62.132677071458886,61.45083260838438,60.768690253072855,60.08625000552428,59.403511865738665,56.603583049883625,53.80601591779001,51.01081046945784,48.2179667048871,45.42748462407777,43.87387157224814,42.32290878408654,40.77459625959298,39.228933998767445,37.68592200160996,36.8325117258352,35.97910145006045,35.12569117428569,34.272280898510935,33.418870622736186,32.692658952878205,31.966447283020226,31.240235613162238,30.51402394330426,29.787812273446278,29.404664695231588,29.021517117016895,28.638369538802205,28.25522196058752,27.87207438237283,27.646539566887483,27.421004751402137,27.19546993591679,26.969935120431444,26.7444003049461
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|NOx,Mt NO2/yr,127.51049405918616,126.9853420219989,126.4666534941027,126.08637191428558,125.70112546879793,125.31091415763976,124.91573798081106,124.51559693831186,122.03380201531652,119.54851172670536,117.05972607247833,114.5674450526355,112.07166866717682,111.43513139026605,110.79351088397294,110.1468071482975,109.49502018323977,108.83814998879973,108.24893660605277,107.6550665973585,107.05653996271693,106.453356702128,105.84551681559176,104.68163513759791,103.51361785678621,102.3414649731567,101.16517648670933,99.98475239744411,99.90607714894988,99.81911098287057,99.72385389920623,99.62030589795688,99.50846697912247,99.45073607950215,99.38424812498377,99.30900311556738,99.22500105125293,99.13224193204044,99.16394252010244,99.18692117206899,99.20117788794015,99.20671266771589,99.20352551139624,91.00224598851564,82.86367561927226,74.78781440366603,66.77466234169698,58.82421943336512,57.43304085116978,56.04460192905563,54.65890266702267,53.27594306507092,51.89572312320037,50.74836305516993,49.604213766124104,48.46327525606287,47.325547524986256,46.191030572894235,45.48351529989885,44.77600002690347,44.06848475390808,43.36096948091269,42.65345420791731,42.02557130541379,41.397688402910276,40.76980550040677,40.14192259790325,39.51403969539974,39.127415361689245,38.74079102797876,38.35416669426827,37.96754236055778,37.58091802684729,37.291486501391276,37.002054975935266,36.712623450479256,36.42319192502325,36.13376039956724
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|OC,Mt OC/yr,34.14789091300629,33.57865862787804,33.012551973647106,32.772850197575146,32.53387108790231,32.29561464462863,32.05808086775408,31.82126975727867,31.381206480269196,30.942069761426136,30.503859600749486,30.06657599823926,29.630218953895437,29.34831013518404,29.066962070491392,28.786174759817484,28.505948203162333,28.226282400525918,27.962901295923444,27.699987520502162,27.437541074262064,27.17556195720315,26.91405016932543,26.701136127654394,26.488507680795536,26.276164828748854,26.064107571514363,25.852335909092044,25.753302639393034,25.654316683515077,25.555378041458173,25.45648671322233,25.35764269880753,25.273316662132224,25.188992947812217,25.1046715558475,25.020352486238085,24.93603573898397,24.881472179435395,24.82691684385113,24.77236973223117,24.717830844575513,24.66330018088416,24.56580651363019,24.468265672908885,24.370677658720258,24.273042471064286,24.17536010994099,24.016589491319483,23.857953643416227,23.699452566231223,23.54108625976447,23.382854724015964,23.259679278637456,23.136604432509685,23.013630185632664,22.890756538006382,22.767983489630844,22.720640699984152,22.673297910337464,22.625955120690776,22.578612331044084,22.531269541397396,22.47987184881848,22.42847415623956,22.37707646366064,22.325678771081723,22.274281078502803,22.240302123038155,22.206323167573508,22.17234421210886,22.138365256644217,22.10438630117957,22.06519550400248,22.026004706825397,21.98681390964831,21.94762311247122,21.90843231529413
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|Sulfur,Mt SO2/yr,71.9020378409034,70.56307268532737,69.23654156847627,69.032171999359,68.82994234683437,68.62985261090236,68.43190279156298,68.23609288881622,65.48296611088782,62.73660213367106,59.99700095716594,57.264162581372474,54.53808700629066,53.596450128732045,52.65785913643235,51.72231402939156,50.78981480760967,49.860361471086705,48.93349427522516,48.009199035852646,47.08747575296918,46.168324426574756,45.25174505666938,44.01228207071701,42.77578260423368,41.542246657219366,40.31167422967408,39.08406532159782,38.65144512063486,38.219591440854245,37.788504282256,37.358183644840096,36.92862952860656,36.545331734742504,36.16276575394393,35.78093158621081,35.399829231543166,35.01945868994099,34.637452509249144,34.2558085436529,33.87452679315224,33.493607257747186,33.11304993743772,31.75487691057166,30.397055340793806,29.039585228104148,27.682466572502697,26.325699373989444,25.240157586405683,24.156092566764407,23.07350431506562,21.992392831309317,20.912758115495496,19.940031767106994,18.96913793680022,18.000076624575183,17.032847830431876,16.067451554370304,15.606134426841361,15.144817299312422,14.683500171783477,14.222183044254539,13.760865916725596,13.481129266188308,13.201392615651017,12.921655965113727,12.641919314576436,12.362182664039146,12.202165436210445,12.042148208381743,11.882130980553042,11.72211375272434,11.56209652489564,11.435801976180267,11.309507427464894,11.183212878749519,11.056918330034147,10.930623781318772
WITCH 6.0,SSP5 - Medium-Low Emissions_a,World,Emissions|VOC,Mt VOC/yr,191.24428648185568,186.81205930490532,182.4216858548103,181.21313549497054,180.00787781956478,178.80591282859308,177.6072405220554,176.41186089995182,174.01148989352902,171.6150617554991,169.22257648586208,166.83403408461788,164.44943455176656,163.70360717437006,162.9565768873222,162.20834369062305,161.45890758427254,160.70826856827068,160.00061078213696,159.29206146434277,158.58262061488827,157.87228823377336,157.16106432099807,156.27589428865912,155.39044803789366,154.50472556870173,153.61872688108335,152.73245197503852,152.3278906896611,151.9218860637793,151.51443809739317,151.10554679050267,150.69521214310777,150.36981973500897,150.0426227990946,149.71362133536465,149.38281534381915,149.05020482445806,148.8720743081501,148.69135915086036,148.50805935258884,148.32217491333557,148.13370583310055,147.23639802879563,146.33650981088022,145.43404117935424,144.52899213421773,143.62136267547072,141.3913099821988,139.1641028584122,136.939741304111,134.7182253192951,132.4995549039646,130.49531211285426,128.4958095185929,126.50104712118045,124.51102492061696,122.52574291690243,121.25614555119523,119.98654818548803,118.71695081978083,117.44735345407364,116.17775608836644,114.98933090454685,113.80090572072726,112.61248053690765,111.42405535308806,110.23563016926848,109.48080393966958,108.72597771007074,107.97115148047187,107.21632525087301,106.46149902127415,105.84965774936079,105.2378164774474,104.62597520553403,104.01413393362067,103.40229266170728
